ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
1875,Madhya Pradesh,BALAGHAT,JABALPUR HIGH COURT ADVOCATE AND WRITER SUKHARAM ASTKAR LANJI,Independent,11767
1876,Madhya Pradesh,BALAGHAT,SANDEEP SONI,Independent,10444
1877,Madhya Pradesh,BALAGHAT,U. K. CHOUDHARY (MUNNA BHAIYA),Aam Aadmi Party,9898
1878,Madhya Pradesh,BALAGHAT,SHANKAR KANSRE LODHI (SAMAJ SEWAK),Independent,6374
1879,Madhya Pradesh,BALAGHAT,LAXMINARAYAN DEHARIYA,Bahujan Mukti Party,4427
1880,Madhya Pradesh,BALAGHAT,VIVEK MISHRA (LALU BHAIYA),Jai Maha Bharath Party,4397
1881,Madhya Pradesh,BALAGHAT,GAUTAM RAMTEKE,Republican Party of India (Khobragade),3250
1882,Madhya Pradesh,BALAGHAT,DR. ASRA ANJUM FAROOQUI,Republican Party of India (A),3243
1883,Madhya Pradesh,BALAGHAT,NANDLAL UIKEY,Chhattisgarh Swabhiman Manch,3008
1884,Madhya Pradesh,BALAGHAT,ASIF KHAN,Minorities Democratic Party,2652
1885,Madhya Pradesh,BALAGHAT,None of the Above,None of the Above,6922
1886,Andhra Pradesh,Visakhapatnam,KAMBHAMPATI HARI BABU,Bharatiya Janata Party,566832
1887,Andhra Pradesh,Visakhapatnam,Y.S VIJAYAMMA,Yuvajana Sramika Rythu Congress Party,476344
1888,Andhra Pradesh,Visakhapatnam,BOLISETTI SATYANARAYANA (SATYA),Indian National Congress,50632
1889,Andhra Pradesh,Visakhapatnam,IMANDI VENKATA KURMARAO,Bahujan Samaj Party,14947
1890,Andhra Pradesh,Visakhapatnam,SABBAM HARI,Jai Samaikyandhra Party,6644
1891,Andhra Pradesh,Visakhapatnam,KUNA RAMAM,Aam Aadmi Party,6175
1892,Andhra Pradesh,Visakhapatnam,TANUKU DIVAKAR,Independent,5418
1893,Andhra Pradesh,Visakhapatnam,JT RAMARAO,Samaikyandhra Parirakshana Samithi,4323
1894,Andhra Pradesh,Visakhapatnam,DADI JYOTHI BHAVANI,Pyramid Party of India,2717
1895,Andhra Pradesh,Visakhapatnam,DURGAPRASAD GUNTU,Independent,2611
1896,Andhra Pradesh,Visakhapatnam,NAGENDRA SAIRAM,Independent,2377
1897,Andhra Pradesh,Visakhapatnam,KURADA SATYANARAYANA PATNAIK,Independent,1927
1898,Andhra Pradesh,Visakhapatnam,DR.BHAVANI SANKAR SASTRY.A,Indian Christian Secular Party,1910
1899,Andhra Pradesh,Visakhapatnam,KUTIKUPPALA SURYA RAO,Independent,1889
1900,Andhra Pradesh,Visakhapatnam,SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU),Independent,1759
1901,Andhra Pradesh,Visakhapatnam,UMAMAHESWARARAO ARETI,Independent,1751
1902,Andhra Pradesh,Visakhapatnam,CHALAPATHIRAO RONANKI,Independent,1594
1903,Andhra Pradesh,Visakhapatnam,J. PADMAJA,Independent,1540
1904,Andhra Pradesh,Visakhapatnam,SREENADH REDDY,Independent,1379
1905,Andhra Pradesh,Visakhapatnam,CHANDRASEKHAR BUDDA,Independent,1348
1906,Andhra Pradesh,Visakhapatnam,GEDELA KRISHNARAO,Independent,1118
1907,Andhra Pradesh,Visakhapatnam,BRAHMA SWAROOP KASIBHATTA,Independent,994
1908,Andhra Pradesh,Visakhapatnam,None of the Above,None of the Above,7329
1909,Madhya Pradesh,CHHINDWARA,KAMAL NATH,Indian National Congress,559755
1910,Madhya Pradesh,CHHINDWARA,CHOUDHARY CHANDRABHAN KUBER SINGH,Bharatiya Janata Party,443218
1911,Madhya Pradesh,CHHINDWARA,PARDESHI HARTAPSHAH TIRGAM,Gondvana Gantantra Party,25628
1912,Madhya Pradesh,CHHINDWARA,SITARAM SAREYAM,Independent,12762
1913,Madhya Pradesh,CHHINDWARA,NITINKUMAR SAHU,Bahujan Samaj Party,12241
1914,Madhya Pradesh,CHHINDWARA,DHANIRAM YADUVANSHI,Independent,6601
1915,Madhya Pradesh,CHHINDWARA,MAHESH MADHAVLAL DUBEY,Aam Aadmi Party,5696
1916,Madhya Pradesh,CHHINDWARA,DWARKA PRASAD PAHADE,Independent,3450
1917,Madhya Pradesh,CHHINDWARA,JALASRAM NAGWANSHI,Independent,3117
1918,Madhya Pradesh,CHHINDWARA,RAMESH PATIL,Ambedkarite Party of India,2872
1919,Madhya Pradesh,CHHINDWARA,ARVIND DONGRE,Bahujan Mukti Party,2484
1920,Madhya Pradesh,CHHINDWARA,ER. KRIPA SHANKAR YADAV,Independent,2140
1921,Madhya Pradesh,CHHINDWARA,SUBHASH SHUKLA,Samajwadi Party,2035
1922,Madhya Pradesh,CHHINDWARA,None of the Above,None of the Above,25499
1923,Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,Bharatiya Janata Party,669128
1924,Madhya Pradesh,HOSHANGABAD,DEVENDRA PATEL GUDDU BHAIYA,Indian National Congress,279168
1925,Madhya Pradesh,HOSHANGABAD,MAYA VISHWAKARMA,Aam Aadmi Party,17837
1926,Madhya Pradesh,HOSHANGABAD,PRADEEP AHIRWAR,Bahujan Samaj Party,14154
1927,Madhya Pradesh,HOSHANGABAD,Devendra Patel urf Gudda Bhaiyya,Independent,13412
1928,Madhya Pradesh,HOSHANGABAD,MUKESH BABU AHIRWAR,Independent,7132
1929,Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,Independent,6378
1930,Madhya Pradesh,HOSHANGABAD,JAY PRAKASH PATEL,Gondvana Gantantra Party,5225
1931,Madhya Pradesh,HOSHANGABAD,None of the Above,None of the Above,18741
1932,Madhya Pradesh,VIDISHA,SUSHMA SWARAJ,Bharatiya Janata Party,714348
1933,Madhya Pradesh,VIDISHA,LAKSHMAN SINGH,Indian National Congress,303650
1934,Madhya Pradesh,VIDISHA,KAMLESH SALLAM,Gondvana Gantantra Party,10824
1935,Madhya Pradesh,VIDISHA,AMAR SINGH PATEL,Bahujan Samaj Party,9699
1936,Madhya Pradesh,VIDISHA,CHANDRESH SINGH,Independent,5359
1937,Madhya Pradesh,VIDISHA,ENGINEEAR BHAGWAT SINGH RAJPUT,Aam Aadmi Party,5204
1938,Madhya Pradesh,VIDISHA,RAMDAYAL KORI,Independent,4159
1939,Madhya Pradesh,VIDISHA,MANOJ KUMAR YADAV,Samajwadi Party,3293
1940,Madhya Pradesh,VIDISHA,SHOIAB KHAN,Prajatantrik Samadhan Party,2200
1941,Madhya Pradesh,VIDISHA,GANESH RAJAK,Samata Party,1761
1942,Madhya Pradesh,VIDISHA,NARMADA PRASHAD AHIRWAR,Bahujan Mukti Party,1270
1943,Madhya Pradesh,VIDISHA,BABULAL,Samata Samadhan Party,1088
1944,Madhya Pradesh,VIDISHA,None of the Above,None of the Above,10618
1945,Madhya Pradesh,BHOPAL,ALOK SANJAR,Bharatiya Janata Party,714178
1946,Madhya Pradesh,BHOPAL,P C SHARMA (PRAKASH MANGILAL SHARMA ),Indian National Congress,343482
1947,Madhya Pradesh,BHOPAL,RACHNA DHINGRA,Aam Aadmi Party,21298
1948,Madhya Pradesh,BHOPAL,SUNIL BORSE,Bahujan Samaj Party,10152
1949,Madhya Pradesh,BHOPAL,SHAILENDRA KUMAR SHAILI,Communist Party of India,7643
1950,Madhya Pradesh,BHOPAL,SHEEBA MALIK,Samajwadi Party,5742
1951,Madhya Pradesh,BHOPAL,MASTER SAJID SIDDIQUI,SOCIAL DEMOCRATIC PARTY OF INDIA,5557
1952,Madhya Pradesh,BHOPAL,ABDUL TAHIR (BABLU - ADVOCATE),Independent,1878
1953,Madhya Pradesh,BHOPAL,COLONEL KESARI SINGH,Independent,1840
1954,Madhya Pradesh,BHOPAL,VIJAY KUMAR,Communist Party of India (Marxist-Leninist) Red Star,1494
1955,Madhya Pradesh,BHOPAL,RAJESH KEER,Bahujan Mukti Party,1348
1956,Madhya Pradesh,BHOPAL,SATISH BABU NAIDU,Independent,832
1957,Madhya Pradesh,BHOPAL,RAJARAM MEHAR,Proutist Sarva Samaj,796
1958,Madhya Pradesh,BHOPAL,MUKESH KUMAR BANSAL,Samta Vikas Party,763
1959,Madhya Pradesh,BHOPAL,BRAJENDRA GAPPU CHATURVEDI,Independent,684
1960,Madhya Pradesh,BHOPAL,GUNDESH KHAMBRA,Independent,681
1961,Madhya Pradesh,BHOPAL,J C BARAI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),628
1962,Madhya Pradesh,BHOPAL,MD. ATEEK,Prajatantrik Samadhan Party,625
1963,Madhya Pradesh,BHOPAL,BADSHAH KHAN,Naya Daur Party,622
1964,Madhya Pradesh,BHOPAL,M C MITTAL JAI GURUDEO TATDHARI,Independent,620
1965,Madhya Pradesh,BHOPAL,GAUTAM SHINDE,Apna Dal,614
1966,Madhya Pradesh,BHOPAL,MAHANT GOPAL DAS BABA SHAHAB,Independent,570
1967,Madhya Pradesh,BHOPAL,MEHBOOB KHAN,Independent,569
1968,Madhya Pradesh,BHOPAL,ASHOK PAWAR,Samata Samadhan Party,551
1969,Madhya Pradesh,BHOPAL,BALBHADRA MISHRA,Bhartiya Jan Yug Party,523
1970,Madhya Pradesh,BHOPAL,DANIEL JOHN,Independent,465
1971,Madhya Pradesh,BHOPAL,PRABHAWATI SHAKYA KHOT,Independent,425
1972,Madhya Pradesh,BHOPAL,PEEYUSH SONI,Independent,421
1973,Madhya Pradesh,BHOPAL,None of the Above,None of the Above,5181
1974,Madhya Pradesh,RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,596727
1975,Madhya Pradesh,RAJGARH,AMLABE NARAYAN SINGH,Indian National Congress,367990
1976,Madhya Pradesh,RAJGARH,DR.SHIVNARAYAN VERMA,Bahujan Samaj Party,13864
1977,Madhya Pradesh,RAJGARH,ROD JI,Independent,8818
1978,Madhya Pradesh,RAJGARH,DR.PRASHANT TRIPATHI,Aam Aadmi Party,8699
1979,Madhya Pradesh,RAJGARH,IMAMUDDIN KHAN,Independent,4334
1980,Madhya Pradesh,RAJGARH,None of the Above,None of the Above,10292
1981,Madhya Pradesh,DEWAS,MANOHAR UNTWAL,Bharatiya Janata Party,665646
1982,Madhya Pradesh,DEWAS,SAJJAN SINGH VERMA,Indian National Congress,405333
1983,Madhya Pradesh,DEWAS,GOKUL PRASAD DONGARE,Bahujan Samaj Party,17238
1984,Madhya Pradesh,DEWAS,KAMAL SINGH CHOUHAN,Prajatantrik Samadhan Party,16376
1985,Madhya Pradesh,DEWAS,SAJAN SINGH,Independent,10113
1986,Madhya Pradesh,DEWAS,RADHESHYAM MALVIYA,Independent,4862
1987,Madhya Pradesh,DEWAS,HEMRAJ SINGH BAMNIYA,Bahujan Sangharshh Dal,4657
1988,Madhya Pradesh,DEWAS,SUJEET SANGTE,Aam Aadmi Party,4216
1989,Madhya Pradesh,DEWAS,MANOHAR AHIRIYA,Independent,2763
1990,Madhya Pradesh,DEWAS,SOUDAN SINGH DALMIYA,Bahujan Mukti Party,1509
1991,Madhya Pradesh,DEWAS,SOBHAL SINGH SISODIYA,Samata Samadhan Party,1002
1992,Madhya Pradesh,DEWAS,None of the Above,None of the Above,10253
1993,Madhya Pradesh,UJJAIN,PROF. CHINTAMANI MALVIYA,Bharatiya Janata Party,641101
1994,Madhya Pradesh,UJJAIN,PREMCHAND GUDDU,Indian National Congress,331438
1995,Madhya Pradesh,UJJAIN,RAMPRASAD JATWA,Bahujan Samaj Party,9969
1996,Madhya Pradesh,UJJAIN,ANEETA HINDOLIYA,Aam Aadmi Party,5917
1997,Madhya Pradesh,UJJAIN,ANIL PALE,Bahujan Sangharshh Dal,4439
1998,Madhya Pradesh,UJJAIN,SURENDRA MEHAR,Independent,3636
1999,Madhya Pradesh,UJJAIN,LALCHAND GOMAY BERWA,Independent,2015
2000,Madhya Pradesh,UJJAIN,ASHOK,Independent,1669
2001,Madhya Pradesh,UJJAIN,RADHESHAYAM PANAVAR,All India Forward Bloc,1257
2002,Madhya Pradesh,UJJAIN,NANDLAL CHAUHAN,Bahujan Mukti Party,927
2003,Madhya Pradesh,UJJAIN,BHAWARLAL TUFAN,Jai Maha Bharath Party,902
2004,Madhya Pradesh,UJJAIN,ER. BRAJMOHAN MALVIYA,Prajatantrik Samadhan Party,848
2005,Madhya Pradesh,UJJAIN,None of the Above,None of the Above,12287
2006,Madhya Pradesh,MANDSOUR,SUDHIR GUPTA,Bharatiya Janata Party,698335
2007,Madhya Pradesh,MANDSOUR,MEENAKSHI NATARAJAN,Indian National Congress,394686
2008,Madhya Pradesh,MANDSOUR,PARAS SAKLECHA DADA,Aam Aadmi Party,10183
2009,Madhya Pradesh,MANDSOUR,MINAKSHI PANDEY,Independent,8333
2010,Madhya Pradesh,MANDSOUR,KRANTIPARIVARTAN,Bahujan Samaj Party,8104
2011,Madhya Pradesh,MANDSOUR,SHAIKH AZIZUDDIN QURAISHI,All India Forward Bloc,7992
2012,Madhya Pradesh,MANDSOUR,SUDHIR GAUTAM,Independent,7615
2013,Madhya Pradesh,MANDSOUR,BANSHI LAL PATIDAR,Bahujan Sangharshh Dal,3501
2014,Madhya Pradesh,MANDSOUR,BANO BI,Bharatiya Minorities Suraksha Mahasangh,3441
2015,Madhya Pradesh,MANDSOUR,MINAKSHI CHOUHAN,Independent,3151
2016,Madhya Pradesh,MANDSOUR,PROF. PURUSHOTTAM MEGHWAL,Independent,2626
2017,Madhya Pradesh,MANDSOUR,NILESH TIWARI,Independent,1685
2018,Madhya Pradesh,MANDSOUR,ISMAILE MEW,Independent,1616
2019,Madhya Pradesh,MANDSOUR,RAJU MALVIYA,Bahujan Mukti Party,1513
2020,Madhya Pradesh,MANDSOUR,None of the Above,None of the Above,8568
2021,Madhya Pradesh,RATLAM,DILEEPSINGH BHURIA,Bharatiya Janata Party,545970
2022,Madhya Pradesh,RATLAM,KANTILAL BHURIA,Indian National Congress,437523
2023,Madhya Pradesh,RATLAM,BABUSINGH,Bahujan Samaj Party,18485
2024,Madhya Pradesh,RATLAM,BHERUSINGH DAMOR,Janata Dal (United),13116
2025,Madhya Pradesh,RATLAM,MEENA ATUL DAVID,Independent,10980
2026,Madhya Pradesh,RATLAM,BHADIYA DAWAR,Independent,6638
2027,Madhya Pradesh,RATLAM,ENARI MACHAR,Aam Aadmi Party,6085
2028,Madhya Pradesh,RATLAM,COMRADE LATA BHABOR,Communist Party of India (Marxist),6078
2029,Madhya Pradesh,RATLAM,KAILASH VASUNIYA,Bahujan Mukti Party,3861
2030,Madhya Pradesh,RATLAM,ILIYAS BHAI MACHAR,Minorities Democratic Party,3581
2031,Madhya Pradesh,RATLAM,None of the Above,None of the Above,30364
2032,Madhya Pradesh,DHAR,SAVITRI THAKUR,Bharatiya Janata Party,558387
2033,Madhya Pradesh,DHAR,UMANG SINGHAR,Indian National Congress,454059
2034,Madhya Pradesh,DHAR,AJAY RAWAT,Bahujan Samaj Party,14666
2035,Madhya Pradesh,DHAR,KARAN BURMAN GAREEB,Samata Samadhan Party,11481
2036,Madhya Pradesh,DHAR,DR. HEMLATA JAMUNA DEVI,Aam Aadmi Party,10683
2037,Madhya Pradesh,DHAR,RAMA SINGH PATEL,Independent,8303
2038,Madhya Pradesh,DHAR,BHERULAL IMLIYAR,Bahujan Mukti Party,3800
2039,Madhya Pradesh,DHAR,None of the Above,None of the Above,15437
2040,Andhra Pradesh,Anakapalli,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,568463
2041,Andhra Pradesh,Anakapalli,GUDIVADA AMARNADH,Yuvajana Sramika Rythu Congress Party,520531
2042,Andhra Pradesh,Anakapalli,VIJAYA LAKSHMI THOTA,Indian National Congress,17770
2043,Andhra Pradesh,Anakapalli,KARANAM TIRUPATHI RAO,Bahujan Samaj Party,14834
2044,Andhra Pradesh,Anakapalli,KONDARAJU JAMPANA,Jai Samaikyandhra Party,6261
2045,Andhra Pradesh,Anakapalli,VADLAMURI KRISHNA SWAROOP,Dalita Bahujana Party,5506
2046,Andhra Pradesh,Anakapalli,APPALARAJU SADARAM,Independent,3228
2047,Andhra Pradesh,Anakapalli,SARISA LEELA PRASANNA KUMARI,Pyramid Party of India,2875
2048,Andhra Pradesh,Anakapalli,None of the Above,None of the Above,8604
2049,Madhya Pradesh,INDORE,SUMITRA MAHAJAN (TAI),Bharatiya Janata Party,854972
2050,Madhya Pradesh,INDORE,SATYANARAYAN PATEL,Indian National Congress,388071
2051,Madhya Pradesh,INDORE,ANIL TRIVEDI,Aam Aadmi Party,35169
2052,Madhya Pradesh,INDORE,DHARAMDAS AHIRWAR,Bahujan Samaj Party,7422
2053,Madhya Pradesh,INDORE,MOHAMMAD IMTIYAZ KHAN,Independent,3862
2054,Madhya Pradesh,INDORE,RAMCHANDRA VASAINI (RAMA SETH),Independent,3725
2055,Madhya Pradesh,INDORE,RAKESH KUMAR PATEL,Independent,2528
2056,Madhya Pradesh,INDORE,PRAVEEN KUMAR AJMERA JAIN,Independent,1867
2057,Madhya Pradesh,INDORE,PARMANAND TOLANI,Independent,1768
2058,Madhya Pradesh,INDORE,DR. NEHA SHARMA,Samajwadi Party,1619
2059,Madhya Pradesh,INDORE,MOMD.TANVEER,Independent,1576
2060,Madhya Pradesh,INDORE,RAVI SIRWAIYA,Independent,1356
2061,Madhya Pradesh,INDORE,P.T. JAGDISH CHANDRA BHATT,Jai Maha Bharath Party,1352
2062,Madhya Pradesh,INDORE,JAMEELA BI,Independent,981
2063,Madhya Pradesh,INDORE,SHAKTI SUDHA SHARMA,Independent,740
2064,Madhya Pradesh,INDORE,SYED NIZAM AHMED,Independent,740
2065,Madhya Pradesh,INDORE,GHANSHYAM CHANDEL,Independent,598
2066,Madhya Pradesh,INDORE,MAMTA BHATI,Rashtriya Ahinsa Manch,579
2067,Madhya Pradesh,INDORE,AJEET KUMAR JAIN PATWA (DHARTI PAKAD),Independent,554
2068,Madhya Pradesh,INDORE,SANTOSH KUMAR DEEN BANDHU,Independent,517
2069,Madhya Pradesh,INDORE,RAMCHANDR PARMAR,Bahujan Mukti Party,477
2070,Madhya Pradesh,INDORE,HARISH SAHU,Samata Samadhan Party,400
2071,Madhya Pradesh,INDORE,None of the Above,None of the Above,5944
2072,Madhya Pradesh,KHARGONE,SUBHASH PATEL,Bharatiya Janata Party,649354
2073,Madhya Pradesh,KHARGONE,RAMESH PATEL,Indian National Congress,391475
2074,Madhya Pradesh,KHARGONE,KAILASH AWASYA,Aam Aadmi Party,31222
2075,Madhya Pradesh,KHARGONE,COMRADE JYOTI GORE,Communist Party of India,25930
2076,Madhya Pradesh,KHARGONE,GAFFAR NOOR MO.,Independent,8553
2077,Madhya Pradesh,KHARGONE,GANGARAM PRATAP GAWLE,Aadijan Mukti Sena,8544
2078,Madhya Pradesh,KHARGONE,NAHARSINGH RICHHUJI BARDE,Bahujan Samaj Party,8266
2079,Madhya Pradesh,KHARGONE,KAILASH PATEL,Independent,7040
2080,Madhya Pradesh,KHARGONE,None of the Above,None of the Above,22141
2081,Madhya Pradesh,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,717357
2082,Madhya Pradesh,KHANDWA,ARUN SUBHASH CHANDRA YADAV,Indian National Congress,457643
2083,Madhya Pradesh,KHANDWA,ALOK AGARWAL,Aam Aadmi Party,16799
2084,Madhya Pradesh,KHANDWA,SANJAY S/O LAXMAN SOLANKI,Bahujan Samaj Party,13691
2085,Madhya Pradesh,KHANDWA,BABA ABDUL HAMID,Independent,12036
2086,Madhya Pradesh,KHANDWA,NANDLAL SINGH CHOUHAN,Independent,6226
2087,Madhya Pradesh,KHANDWA,NANDLAL SINGH CHOUHAN (NANDU BHAIYA),Independent,5307
2088,Madhya Pradesh,KHANDWA,KASHINATH UPADHYAY,Independent,2429
2089,Madhya Pradesh,KHANDWA,SHARIF RAJGEER,Akhil Bhartiya Vikas Congress Party,2255
2090,Madhya Pradesh,KHANDWA,VINOD KUMAR BHAGWAN BIRADE,Republican Party of India (A),1783
2091,Madhya Pradesh,KHANDWA,DR. RAMESHSINGH - SOLANKI,Prajatantrik Samadhan Party,1235
2092,Madhya Pradesh,KHANDWA,BHAIYALAL UIKEY,Gondvana Gantantra Party,1208
2093,Madhya Pradesh,KHANDWA,ISHAMUDDIN (LEDAR) SAYYADH,Samata Party,1134
2094,Madhya Pradesh,KHANDWA,ZIAUDDIN INAMDAR,Bahujan Mukti Party,1075
2095,Madhya Pradesh,KHANDWA,None of the Above,None of the Above,17149
2096,Madhya Pradesh,BETUL,JYOTI DHURVE,Bharatiya Janata Party,643651
2097,Madhya Pradesh,BETUL,AJAY SHAH MAKRAI,Indian National Congress,315037
2098,Madhya Pradesh,BETUL,RAJESH SARIYAM,Aam Aadmi Party,20627
2099,Madhya Pradesh,BETUL,SOHAN LAL UIKEY,Bahujan Samaj Party,16461
2100,Madhya Pradesh,BETUL,BHUPENDRA SINGH UIKEY,Independent,12933
2101,Madhya Pradesh,BETUL,FAGRAM,Samajwadi Jan Parishad,4668
2102,Madhya Pradesh,BETUL,KALLUSHING KUMRE,Gondvana Gantantra Party,4546
2103,Madhya Pradesh,BETUL,GABBAR SINH WARKADE,Bahujan Mukti Party,3070
2104,Madhya Pradesh,BETUL,None of the Above,None of the Above,26726
2105,Maharashtra,Nandurbar,DR.GAVIT HEENA VAIJAYKUMAR,Bharatiya Janata Party,579486
2106,Maharashtra,Nandurbar,GAVIT MANIKRAO HODLYA,Indian National Congress,472581
2107,Maharashtra,Nandurbar,VASAVE AMIT SHEKLAL,Bahujan Samaj Party,12133
2108,Maharashtra,Nandurbar,ADV.SOBJI DEVALYA GAVIT,Independent,9184
2109,Maharashtra,Nandurbar,C.S.VALVI,Independent,6004
2110,Maharashtra,Nandurbar,ARJUNSING DIVANSING VASAVE,Bharipa Bahujan Mahasangh,4712
2111,Maharashtra,Nandurbar,MAHESH JAYSING PAWARA,Independent,4389
2112,Maharashtra,Nandurbar,VIRENDRA RAVAJI VALVI,Aam Aadmi Party,3511
2113,Maharashtra,Nandurbar,RANJIT JUGLA PADVI,Bahujan Mukti Party,3498
2114,Maharashtra,Nandurbar,None of the Above,None of the Above,21178
2115,Maharashtra,Dhule,DR. BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,529450
2116,Maharashtra,Dhule,AMRISHBHAI RASIKLAL PATEL,Indian National Congress,398727
2117,Maharashtra,Dhule,ISHI YOGESH YASHWANT,Bahujan Samaj Party,9897
2118,Maharashtra,Dhule,ANSARI NIHAL AH. MOHD. HAROON,Aam Aadmi Party,9339
2119,Maharashtra,Dhule,RAMESH RAGHO MORE,Independent,8057
2120,Maharashtra,Dhule,DR BHUPESH PRAKASH PATIL,Independent,6117
2121,Maharashtra,Dhule,SAYYAD SALIM SAYYAD ALIM,Independent,5278
2122,Maharashtra,Dhule,DEORE MAHENDRA TRYAMBAK,Independent,2091
2123,Maharashtra,Dhule,SAYYAD MOHAMMAD QAYAM,Independent,1600
2124,Maharashtra,Dhule,PINJARI JAYNUDDIN HUSEN,Independent,1545
2125,Maharashtra,Dhule,JAFAR BAPUJI PATHAN,Independent,1355
2126,Maharashtra,Dhule,SAMBHAJI DEVIDAS PATIL,Bahujan Mukti Party,1149
2127,Maharashtra,Dhule,NIHAL AH.AB.RAHEMAN DANEWALA,Samajwadi Party,1148
2128,Maharashtra,Dhule,ABDUL HAMID SHAIKH HABIB,Independent,914
2129,Maharashtra,Dhule,JAGDANE RAMESH SOMA,Maharashtra Parivartan Sena (T),828
2130,Maharashtra,Dhule,MAHEMOOD BHAIJAAN,Awami Vikas Party,792
2131,Maharashtra,Dhule,GAZI ATEZAD MUBEEN KHAN,Independent,788
2132,Maharashtra,Dhule,SHAIKH MUKHATAR AH. MO. QASIM,Welfare Party Of India,765
2133,Maharashtra,Dhule,MO. ISMAIL JUMMAN,Independent,740
2134,Maharashtra,Dhule,None of the Above,None of the Above,2503
2135,Maharashtra,Jalgaon,A.T. NANA PATIL,Bharatiya Janata Party,647773
2136,Maharashtra,Jalgaon,ANNASAHEB DR.SATISH BHASKARRAO PATIL,Nationalist Congress Party,264248
2137,Maharashtra,Jalgaon,BAGUL V. T.(JIBHAU),Bahujan Samaj Party,10838
2138,Maharashtra,Jalgaon,VIJAY BHIMRAO NIKAM,Independent,9614
2139,Maharashtra,Jalgaon,LALIT GAURISHANKAR SHARMA,Independent,8140
2140,Maharashtra,Jalgaon,DR. SANGRAM GOKULSINGH PATIL,Aam Aadmi Party,7390
2141,Maharashtra,Jalgaon,SATISH BHASKAR PATIL (NANDGAON BK),Independent,6157
2142,Maharashtra,Jalgaon,ASHOK TARACHAND PATIL,Independent,5801
2143,Maharashtra,Jalgaon,SATISH BHASKAR PATIL (MUDI PRA DANGRI),Independent,3998
2144,Maharashtra,Jalgaon,ABRAR BEG SARVAR BEG MIRZA,Republican Party of India,3212
2145,Maharashtra,Jalgaon,PATIL SANDIP YUVRAJ,Independent,2879
2146,Maharashtra,Jalgaon,MORE ISHWAR DAYARAM (EX-SERVICEMAN),Bahujan Mukti Party,2718
2147,Maharashtra,Jalgaon,RAGIB AHMED ABDUL NABI BAHADUR,Samajwadi Party,2675
2148,Maharashtra,Jalgaon,IQBAL RAHEMAN DESHMUKH,Independent,2246
2149,Maharashtra,Jalgaon,NANASO M.P. PAGARE,Rashtravadi Janata Party,1917
2150,Maharashtra,Jalgaon,ADV. ASHOK DAGADU SHINDE,Prabuddha Republican Party,1708
2151,Maharashtra,Jalgaon,DR.MUBIN A. KHALIL A.,Independent,1676
2152,Maharashtra,Jalgaon,ASHA SAHEBRAO PATIL,Maharashtra Parivartan Sena (T),1579
2153,Maharashtra,Jalgaon,SATISH BHASKAR PATIL (VARKHEDI),Independent,1537
2154,Maharashtra,Jalgaon,MAMASHRI SURESH PATIL (PATRAKAR),Hindustan Janta Party,958
2155,Maharashtra,Jalgaon,None of the Above,None of the Above,3268
2156,Maharashtra,Raver,KHADASE RAKSHA NIKHIL,Bharatiya Janata Party,605452
2157,Maharashtra,Raver,MANISHDADA JAIN,Nationalist Congress Party,287384
2158,Maharashtra,Raver,BHANDE DASHRATH MOTIRAM,Bahujan Samaj Party,29752
2159,Maharashtra,Raver,DR. ULHAS VASUDEO PATIL,Independent,21332
2160,Maharashtra,Raver,MANISHDADA SATISH JAIN,Independent,14599
2161,Maharashtra,Raver,MOHAN SHAMRAO CHAVHAN (MANOJSIR VARDIKAR),Independent,8797
2162,Maharashtra,Raver,KHATIK MOHAMMAD HAROON,Samajwadi Party,4376
2163,Maharashtra,Raver,SHAIKH SHAKIR,Independent,4009
2164,Maharashtra,Raver,RAJEEV SATYENDRA SHARMA,Aam Aadmi Party,3756
2165,Maharashtra,Raver,ZAGADYA PURMYA PAWARA,Independent,3707
2166,Maharashtra,Raver,D.D.WANI (PHOTOGRAPHER) (DNYANESHWAR DIVAKAR WANI),Independent,3349
2167,Maharashtra,Raver,GOVINDA NARAYAN GUNJAL,Independent,2844
2168,Maharashtra,Raver,KADRI SANIYA SAIYED ALI,Independent,2658
2169,Maharashtra,Raver,WAMANRAO MADHAV SASANE,Bahujan Mukti Party,1757
2170,Maharashtra,Raver,J.G.SURWADE,Independent,1634
2171,Maharashtra,Raver,MANYAR SHE. SAJID SHE. KADAR,Minorities Democratic Party,1606
2172,Maharashtra,Raver,SHAIKH SHAHERA BI. JAINODDIN SHAIKH,Independent,1375
2173,Maharashtra,Raver,SURESH HIRAMAN INGALE,Independent,1258
2174,Maharashtra,Raver,DNYANESHWAR AMALE-PATIL,All India Forward Bloc,1220
2175,Maharashtra,Raver,GAIKWAD BHAGWAN MADHAV,Prabuddha Republican Party,1206
2176,Maharashtra,Raver,ASHOK TRYAMBAK INGALE,Independent,1131
