Candidate,Party,Votes
KAMARAJ. K,All India Anna Dravida Munnetra Kazhagam,533383
MANIMARAN. R,Dravida Munnetra Kazhagam,309876
ESWARAN. V. P,Desiya Murpokku Dravida Kazhagam,164183
DEVADASS. R,Indian National Congress,39677
MADAIYAN. S,Independent,7314
MANNAN. M. P,Independent,6186
SAKTHIVEL.S,Bahujan Samaj Party,5929
VARADAN. M,Independent,5054
PERUMAL. A. K.,Jharkhand Mukti Morcha (Ulgulan),3512
LAKSHMANAN. S,Independent,3261
MOHAMMED YASIN. K,Aam Aadmi Party,2910
BOJAN. G,Independent,2255
VETRIVEL. K,Independent,2029
NARAYANSAMY. P,Independent,1684
SHAJAHAN. A,Independent,1499
KAMARAJ. R,Independent,1334
PANDIAN. R,Independent,1221
VENNILA. K,Independent,1097
GOVINDASAMY.A,Independent,1015
RAMACHANDIRAN. T,Independent,1013
SEKAR. K,Independent,962
VELLIYAN. K,Independent,946
None of the Above,None of the Above,10901
