Candidate,Party,Votes
PARASURAMAN.K,All India Anna Dravida Munnetra Kazhagam,510307
BAALU.T.R,Dravida Munnetra Kazhagam,366188
MURUGANANTHAM.M,Bharatiya Janata Party,58521
KRISHNASAMY VANDAYAR.T,Indian National Congress,30232
TAMILSELVI.S,Communist Party of India (Marxist),23215
MUMMOORTHI.S@S.M.MOORTHY,Namadhu Makkal Katchi,2511
ARANGARAJAN.M,Bahujan Samaj Party,2253
PANASAI ARANGAN.N,Independent,1830
SIVAKUMAR.V,Independent,1511
RAJKUMAR.R,Independent,1409
MADHAVAN.T,Independent,1169
GUNASEKARAN.T,Independent,894
None of the Above,None of the Above,12218
