Candidate,Party,Votes
NARENDRA MODI,Bharatiya Janata Party,581022
ARVIND KEJRIWAL,Aam Aadmi Party,209238
AJAY RAI,Indian National Congress,75614
VIJAY PRAKASH JAISAWAL,Bahujan Samaj Party,60579
KAILASH CHAURASIYA,Samajwadi Party,45291
RAJESH BHARTI SURYA,Rashtriya Ambedkar Dal,4327
ARUN,Bhartiya Shakti Chetna Party,3634
SARVESH KUMAR GUPTA,Independent,3023
BASEER KINNAR,Independent,2850
INDIRA TIWARI,All India Trinamool Congress,2674
HIRALAL YADAV,Communist Party of India (Marxist),2457
IFTEKHAR KURAISHI,Independent,2323
NARENDRA NATH DUBEY ADIG,Jan Shakti Ekta Party,2277
A.K. AGGARWAL,Agar Jan Party,2037
SHIVHARI AGARWAL,Bharat Nirman Party,2000
PRAMOD KUMAR,Independent,1807
DEVI PRASAD NAND,Moulik Adhikar Party,1740
ABHIMANYU SINGH PATEL,Bahujan Mukti Party,1644
JOHNSON THOMAS,Independent,1524
SANTOSH KUMAR,Rashtriya Vikas Manch Party,1434
RAM LAKHAN GUPTA,Jantantra Party,1376
RAJENDRA PRASAD (GARIB DAS),Independent,1367
PRAKASH PRASAD,Independent,1361
NARENDRA BAHADUR SINGH,Independent,1306
HEMANT KUMAR YADAV,Indian National League,1202
BACHCHAN PRASAD YADAV,Independent,1192
BACHCHELAL,Lokpriya Samaj Party,1172
GHANSHYAM,Independent,1151
OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH,Sanatan Sanskriti Raksha Dal,1144
PRABHAT KUMAR,Independent,1089
MANOJ KUMAR CHAUBEY,Independent,1074
RAVINDRA KUMAR,Independent,1012
LALLAN,Manavadhikar Janshakti Party,997
AHMED SOHEL SIDDIQUI,Independent,937
USMAN,Rashtriya Apna Dal,878
HARI LAL,Rastriya Insaaf Party,838
RAJIV KUMAR MISHRA,Independent,677
SATYAPRAKASH SRIVASTAVA,Independent,599
MAHENDRA MISHRA,Independent,573
SATISH SHANKAR JAYASWAL,Independent,459
RAMPYARE SINGH,Independent,423
SHIV KUMAR SHAH,Independent,312
None of the Above,None of the Above,2051
