NO_OF_CANDIDATES,PARTY
3235,INDEPENDENT
543,"NONE OF THE ABOVE"
503,"BAHUJAN SAMAJ PARTY"
464,"INDIAN NATIONAL CONGRESS"
432,"AAM AADMI PARTY"
428,"BHARATIYA JANATA PARTY"
232,"BAHUJAN MUKTI PARTY"
197,"SAMAJWADI PARTY"
131,"ALL INDIA TRINAMOOL CONGRESS"
93,"JANATA DAL (UNITED)"
93,"COMMUNIST PARTY OF INDIA (MARXIST)"
82,"COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)"
80,"SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)"
67,"COMMUNIST PARTY OF INDIA"
58,SHIVSENA
51,"PEACE PARTY"
47,"COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) RED STAR"
44,"REPUBLICAN PARTY OF INDIA (A)"
40,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM"
39,"ALL INDIA FORWARD BLOC"
38,"YUVAJANA SRAMIKA RYTHU CONGRESS PARTY"
38,"PYRAMID PARTY OF INDIA"
36,"NATIONALIST CONGRESS PARTY"
35,"DRAVIDA MUNNETRA KAZHAGAM"
34,"AMBEDKARITE PARTY OF INDIA"
34,"JANATA DAL (SECULAR)"
30,"BHARTIYA SHAKTI CHETNA PARTY"
30,"RASHTRIYA JANATA DAL"
30,"TELUGU DESAM"
29,"SOCIAL DEMOCRATIC PARTY OF INDIA"
27,"GONDVANA GANTANTRA PARTY"
27,"JAI SAMAIKYANDHRA PARTY"
27,"JAI MAHA BHARATH PARTY"
25,"INDIAN UNION MUSLIM LEAGUE"
25,"WELFARE PARTY OF INDIA"
23,"BHARIPA BAHUJAN MAHASANGH"
21,"BIJU JANATA DAL"
21,"JHARKHAND MUKTI MORCHA"
21,"LOK DAL"
19,"JHARKHAND DISOM PARTY"
18,"ALL INDIA UNITED DEMOCRATIC FRONT"
17,"TELANGANA RASHTRA SAMITHI"
17,"NAITIK PARTY"
16,"JHARKHAND VIKAS MORCHA (PRAJATANTRIK)"
16,"SOCIALIST PARTY (INDIA)"
16,"AMRA BANGALEE"
16,"REPUBLICAN PARTY OF INDIA"
15,"HINDUSTAN JANTA PARTY"
14,"DESIYA MURPOKKU DRAVIDA KAZHAGAM"
13,"JAMMU & KASHMIR NATIONAL PANTHERS PARTY"
13,"SUHELDEV BHARTIYA SAMAJ PARTY"
13,"SAMAJWADI JANATA PARTY (RASHTRIYA)"
12,"NAYA DAUR PARTY"
12,"ASOM GANA PARISHAD"
12,"JANVADI PARTY(SOCIALIST)"
11,"PRABUDDHA REPUBLICAN PARTY"
10,"MAHARASHTRA PARIVARTAN SENA (T)"
10,"AMBEDKAR NATIONAL CONGRESS"
10,"AJSU PARTY"
10,"SHIROMANI AKALI DAL"
10,"KARUNAADU PARTY"
10,"INDIAN NATIONAL LOK DAL"
10,"RASHTRIYA LOK DAL"
10,"SAMATA PARTY"
10,"TAMIL NADU MAKKAL CONGRESS"
10,"CHHATTISGARH SWABHIMAN MANCH"
10,"SAMYAK PARIVARTAN PARTY"
10,"MAHARASHTRA NAVNIRMAN SENA"
9,"BAHUJAN SANGHARSHH DAL"
9,"PRAGATISHEEL MANAV SAMAJ PARTY"
9,"PATTALI MAKKAL KATCHI"
9,"QAUMI EKTA DAL"
9,"GAREEB AADMI PARTY"
9,"MOST BACKWARD CLASSES OF INDIA"
9,"JANTA DAL RASHTRAVADI"
9,"AAMA ODISHA PARTY"
9,"SHIROMANI AKALI DAL (AMRITSAR)(SIMRANJIT SINGH MANN)"
9,"RASHTRIYA KRANTIKARI SAMAJWADI PARTY"
9,"NAV BHARAT DEMOCRATIC PARTY"
8,"RASHTRIYA ULAMA COUNCIL"
8,"LOK BHARATI"
8,"RASHTRIYA JANADHIKAR SURAKSHA PARTY"
8,"VANCHITSAMAJ INSAAF PARTY"
8,"RASHTRIYA SAMANTA DAL"
8,"AKHIL BHARAT HINDU MAHASABHA"
8,"REPUBLICAN PAKSHA (KHORIPA)"
8,"BHARAT VIKAS MORCHA"
8,"REPUBLICAN PARTY OF INDIA (KHOBRAGADE)"
8,"ULZAIPALI MAKKAL KATCHY"
7,"SARVA JANATA PARTY"
7,"PARTY FOR DEMOCRATIC SOCIALISM"
7,"APNA DAL"
7,"JAGO PARTY"
7,"LOK SATTA PARTY"
7,"MAKKAL MANADU KATCHI"
7,"MANAVTAWADI SAMAJ PARTY"
7,"BHARATIYA EKTA DAL"
7,"NATIONAL PEOPLES PARTY"
7,"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM"
7,"ADARSH RASHTRIYA VIKAS PARTY"
7,"RASHTRIYA JANASACHETAN PARTY (R.J.P.)"
7,"NATIONAL LOKTANTRIK PARTY"
7,"BHARATIYA SANT MAT PARTY"
7,"RASHTRIYA AHINSA MANCH"
7,"LOK JAN SHAKTI PARTY"
7,"AMBEDKAR SAMAJ PARTY"
6,"SAMATA SAMADHAN PARTY"
6,"RAJNAITIK VIKALP PARTY"
6,"MINORITIES DEMOCRATIC PARTY"
6,"BAJJIKANCHAL VIKAS PARTY"
6,"BHARATIYA DR. B.R.AMBEDKAR JANTA PARTY"
6,"HINDUSTHAN NIRMAN DAL"
6,"INDIAN CHRISTIAN SECULAR PARTY"
6,"BHARATIYA YUVA SHAKTI"
6,"REVOLUTIONARY SOCIALIST PARTY"
5,"ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN"
5,"RASHTRIYA SAMAJ PAKSHA"
5,"PRAJATANTRIK SAMADHAN PARTY"
5,"JAI HIND SAMAJ PARTY"
5,"RASHTRIYA JANWADI PARTY (KRANTIKARI)"
5,"JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY"
5,"SANKHYANUPATI BHAGIDARI PARTY"
5,"MARXIST COMMUNIST PARTY OF INDIA (UNITED)"
5,"DEMOCRATIC BHARATIYA SAMAJ PARTY"
5,"RASHTRAVADI JANATA PARTY"
5,"AKHIL BHARATIYA MUSLIM LEAGUE (SECULAR)"
5,"BAHUJAN SAMAJ PARTY (AMBEDKAR)"
5,"SAMATA KRANTI DAL"
5,"ALL INDIA MINORITIES FRONT"
5,"SAMTAWADI REPUBLICAN PARTY"
5,"BHARATIYA GAON TAJ DAL"
5,"JAI PRAKASH JANATA DAL"
4,"POORVANCHAL RASHTRIYA CONGRESS"
4,"BHARATIYA REPUBLICAN PAKSHA"
4,"BHARATIYA BAHUJAN PARTY"
4,"INDIAN NATIONAL LEAGUE"
4,"KALYANKARI JANTANTRIK PARTY"
4,"AMBEDKARIST REPUBLICAN PARTY"
4,"DESIYA FORWARD BLOC"
4,"SANATAN SANSKRITI RAKSHA DAL"
4,"AWAMI VIKAS PARTY"
4,"AKHIL BHARATIYA JAN SANGH"
4,"RASHTRIYA DESHAJ PARTY"
4,"RASHTRIYA LOK SAMTA PARTY"
4,"BHARATIYA NATIONAL JANTA DAL"
4,"APNA DESH PARTY"
4,"PROUTIST SARVA SAMAJ"
4,"INDIAN SAVARN SAMAJ PARTY"
4,"SARVAJAN KALYAN LOKTANTRIK PARTY"
4,"THE LOK PARTY OF INDIA"
4,"SARVA SAMAJ KALYAN PARTY"
4,"SHOSHIT SAMAJ DAL"
4,"RASHTRIYA KRANTI PARTY"
4,"MAJLIS BACHAO TAHREEK"
4,"MAHAJANA SOCIALIST PARTY"
4,"AL-HIND PARTY"
4,"BHARATIYA MOMIN FRONT"
4,"BHARTIYA KRISHAK DAL"
4,"JHARKHAND PARTY"
4,"SWARAJYA PARTY OF INDIA"
3,"ANDHRA RASTRA PRAJA SAMITHI"
3,"JAN SHAKTI EKTA PARTY"
3,"BHARTIYA PRAGATISHEEL CONGRESS"
3,"PEASANTS AND WORKERS PARTY OF INDIA"
3,"PROUTIST BLOC. INDIA"
3,"AKHIL BHARTIYA JHARKHAND PARTY"
3,"NEW ALL INDIA CONGRESS PARTY"
3,"LOKPRIYA SAMAJ PARTY"
3,"RAJASTHAN VIKAS PARTY"
3,"MAHAN DAL"
3,"HINDUSTAN KRANTIKARI DAL"
3,"AARAKSHAN VIRODHI PARTY"
3,"LOK PARIVARTAN PARTY(DC)"
3,"SARVAJAN SAMAJ PARTY (D)"
3,"PREM JANATA DAL"
3,"INDIAN PEOPLES GREEN PARTY"
3,"RASHTRIYA BAHUJAN HITAY PARTY"
3,"MEGH DESHAM PARTY"
3,"BHARTIYA JANTA DAL (INTEGRATED)"
3,"RASHTRIYA MAHAN GANTANTRA PARTY"
3,"JHARKHAND PARTY (NAREN)"
3,"RASHTRIYA APNA DAL"
3,"KALINGA SENA"
3,"JAMAT-E-SERATUL MUSTAKIM"
3,"NAGRIK EKTA PARTY"
3,"JHARKHAND ANUSHILAN PARTY"
