CONSTITUENCY,WINNER_CANDIDATE,WINNER_PARTY,WINNER_VOTES,RUNNER_CANDIDATE,RUNNER_PARTY,RUNNER_VOTES,DIFFERENCE_IN_VOTES
VADODARA,"NARENDRA MODI","BHARATIYA JANATA PARTY",845464,"MISTRI MADHUSUDAN DEVRAM","INDIAN NATIONAL CONGRESS",275336,570128
GHAZIABAD,"VIJAY KUMAR SINGH","BHARATIYA JANATA PARTY",758482,"RAJ BABBAR","INDIAN NATIONAL CONGRESS",191222,567260
NAVSARI,"C. R. PATIL","BHARATIYA JANATA PARTY",820831,"MAKSUD MIRZA","INDIAN NATIONAL CONGRESS",262715,558116
JAIPUR,"RAMCHARAN BOHARA","BHARATIYA JANATA PARTY",863358,"DR. MAHESH JOSHI","INDIAN NATIONAL CONGRESS",324013,539345
SURAT,"DARSHANA VIKRAM JARDOSH","BHARATIYA JANATA PARTY",718412,"DESAI NAISHADHBHAI BHUPATBHAI","INDIAN NATIONAL CONGRESS",185222,533190
"TRIPURA WEST","SANKAR PRASAD DATTA","COMMUNIST PARTY OF INDIA (MARXIST)",671665,"ARUNODAY SAHA","INDIAN NATIONAL CONGRESS",168179,503486
"TRIPURA EAST","JITENDRA CHOUDHURY","COMMUNIST PARTY OF INDIA (MARXIST)",623771,"SACHITRA DEBBARMA","INDIAN NATIONAL CONGRESS",139413,484358
GANDHINAGAR,L.K.ADVANI,"BHARATIYA JANATA PARTY",773539,"KIRITBHAI ISHVARBHAI PATEL","INDIAN NATIONAL CONGRESS",290418,483121
INDORE,"SUMITRA MAHAJAN (TAI)","BHARATIYA JANATA PARTY",854972,"SATYANARAYAN PATEL","INDIAN NATIONAL CONGRESS",388071,466901
FARIDABAD,"KRISHAN PAL","BHARATIYA JANATA PARTY",652516,"AVTAR SINGH BHADANA","INDIAN NATIONAL CONGRESS",185643,466873
"MUMBAI NORTH","GOPAL CHINAYYA SHETTY","BHARATIYA JANATA PARTY",664004,"SANJAY BRIJKISHORLAL NIRUPAM","INDIAN NATIONAL CONGRESS",217422,446582
BULANDSHAHR,"BHOLA SINGH","BHARATIYA JANATA PARTY",604449,"PRADEEP KUMAR JATAV","BAHUJAN SAMAJ PARTY",182476,421973
VIDISHA,"SUSHMA SWARAJ","BHARATIYA JANATA PARTY",714348,"LAKSHMAN SINGH","INDIAN NATIONAL CONGRESS",303650,410698
JODHPUR,"GAJENDRASINGH SHEKHAWAT","BHARATIYA JANATA PARTY",713515,"CHANDRESH KUMARI","INDIAN NATIONAL CONGRESS",303464,410051
MUZAFFARNAGAR,"(DR.) SANJEEV KUMAR BALYAN","BHARATIYA JANATA PARTY",653391,"KADIR RANA","BAHUJAN SAMAJ PARTY",252241,401150
NAGALAND,"NEIPHIU RIO","NAGA PEOPLES FRONT",713372,"K. V. PUSA","INDIAN NATIONAL CONGRESS",313147,400225
PALI,"P P CHOUDHARY","BHARATIYA JANATA PARTY",711772,"MUNNI DEVI GODARA","INDIAN NATIONAL CONGRESS",312733,399039
MEDAK,"KALVAKUNTLA CHANDRASEKHAR RAO","TELANGANA RASHTRA SAMITHI",657492,"DR.P. SHRAVAN KUMAR REDDY","INDIAN NATIONAL CONGRESS",260463,397029
RAJSAMAND,"HARIOM SINGH RATHORE","BHARATIYA JANATA PARTY",644794,"GOPAL SINGH SHEKHAWAT","INDIAN NATIONAL CONGRESS",249089,395705
WARANGAL,"KADIYAM SRIHARI","TELANGANA RASHTRA SAMITHI",661639,"RAJAIAH SIRICILLA","INDIAN NATIONAL CONGRESS",269065,392574
